iter	MAE
393	9.597301152
394	9.596408423
395	9.595122782
396	9.594320783
397	9.593311601
398	9.592087463
399	9.591167016
400	9.589939276
401	9.58868432
402	9.587937079
403	9.587344727
404	9.586258252
405	9.585226257
406	9.584364596
407	9.583417102
408	9.583062769
409	9.582295173
410	9.580908882
411	9.579638427
412	9.578324658
413	9.577489574
414	9.576696348
415	9.575805222
416	9.575038476
417	9.574042159
418	9.573017651
419	9.572097173
420	9.571225594
421	9.569969503
422	9.568548471
423	9.567576933
424	9.566052827
425	9.565255838
426	9.563886265
427	9.563037168
428	9.562049195
429	9.561034877
430	9.560044522
431	9.559150853
432	9.558152385
433	9.557582734
434	9.556865863
435	9.556223667
436	9.55544368
437	9.55445939
438	9.552966586
439	9.552039055
440	9.550578544
441	9.549837896
442	9.548517649
443	9.547398546
444	9.546940651
445	9.545691077
446	9.544748319
447	9.544018506
448	9.543114345
449	9.54219259
450	9.5407337
451	9.539909557
452	9.539184159
453	9.537951614
454	9.537212387
455	9.53649535
456	9.535105327
457	9.533961895
458	9.532692463
459	9.53209134
460	9.531125601
461	9.53006015
462	9.52899728
463	9.52803873
464	9.526927201
465	9.526163695
466	9.525026927
467	9.524147092
468	9.522924085
469	9.522213555
470	9.521310734
471	9.520112615
472	9.518611222
473	9.517224271
474	9.516218753
475	9.515284762
476	9.514160961
477	9.513182067
478	9.512396584
479	9.511326246
480	9.510427595
481	9.509277214
482	9.50795518
483	9.506708549
484	9.505884457
485	9.50490566
486	9.503792165
487	9.502852483
488	9.501658803
489	9.500538986
490	9.499398791
491	9.498556222
492	9.497798496
493	9.496867406
494	9.496039962
495	9.495298148
496	9.494244922
497	9.49352315
498	9.492354963
499	9.491473478
500	9.490921074
501	9.489987358
502	9.488694907
503	9.487777059
504	9.487006653
505	9.485856187
506	9.484578693
507	9.483299912
508	9.482523561
509	9.481582571
510	9.480207269
511	9.47933027
512	9.478364099
513	9.477170421
514	9.476465376
515	9.475212668
516	9.474695078
517	9.474000975
518	9.473307175
519	9.472049501
520	9.470915868
521	9.470008872
522	9.469196969
523	9.468288735
524	9.467186482
525	9.466265006
526	9.464985884
527	9.46389063
528	9.46268316
529	9.461642899
530	9.460715445
531	9.459474536
532	9.458010136
533	9.457479898
534	9.456111035
535	9.455204375
536	9.45409289
537	9.452737629
538	9.451849895
539	9.450935076
540	9.450147776
541	9.449278928
542	9.448232377
543	9.44705621
544	9.446108701
545	9.445211414
546	9.444483879
547	9.443628071
548	9.442904027
549	9.441923958
550	9.440997262
551	9.439856451
552	9.438817886
553	9.437529809
554	9.436750725
555	9.435375751
556	9.434527422
557	9.433547284
558	9.432836062
559	9.431555985
560	9.430424829
561	9.429428616
562	9.428069223
563	9.427002302
564	9.426038747
565	9.425328982
566	9.424802159
567	9.423545527
568	9.422798488
569	9.421955646
570	9.421146421
571	9.420180614
572	9.419613657
573	9.418976581
574	9.418168439
575	9.416870745
576	9.416497008
577	9.41529719
578	9.414561528
579	9.413973115
580	9.413265011
581	9.41215384
582	9.411207874
583	9.410189448
584	9.409476601
585	9.408753108
586	9.408054562
587	9.40713945
588	9.406194694
589	9.405793361
590	9.404686666
591	9.403845389
592	9.403125714
593	9.401585292
594	9.400552549
595	9.399849715
596	9.398736225
597	9.39743287
598	9.396646
599	9.395712086
600	9.394592017
601	9.394000542
602	9.392578113
603	9.391481497
604	9.390700629
605	9.389950137
606	9.38892403
607	9.388194854
608	9.387164317
609	9.386042591
610	9.38489565
611	9.38380131
612	9.382796182
613	9.382164122
614	9.381594111
615	9.381104589
616	9.379669753
617	9.378746692
618	9.377386062
619	9.376228534
620	9.375204939
621	9.374495028
622	9.373391893
623	9.372225485
624	9.371648386
625	9.370758507
626	9.37043722
627	9.369593256
628	9.36844934
629	9.367700497
630	9.366735926
631	9.366141024
632	9.365558003
633	9.36433252
634	9.36345678
635	9.362988071
636	9.36200103
637	9.360875037
638	9.359988005
639	9.358953908
640	9.35845817
641	9.357804209
642	9.357203441
643	9.356403854
644	9.355535635
645	9.354292489
646	9.3533246
647	9.352432943
648	9.351349228
649	9.350920508
650	9.349710002
651	9.349008994
652	9.34771891
653	9.346762564
654	9.345995118
655	9.344753867
656	9.344205897
657	9.343192152
658	9.342512186
659	9.341623006
660	9.341200534
661	9.340290676
662	9.338824931
663	9.337608424
664	9.336626787
665	9.336020741
666	9.335225123
667	9.334261098
668	9.33306891
669	9.332374745
670	9.331421405
671	9.330990164
672	9.329936092
673	9.329630556
674	9.328909741
675	9.32796926
676	9.32709773
677	9.326350763
678	9.325561657
679	9.324684098
680	9.324350539
681	9.323933603
682	9.323350767
683	9.322398023
684	9.321595925
685	9.320909477
686	9.319484337
687	9.318851043
688	9.318073299
689	9.316978248
690	9.316045129
691	9.315055294
692	9.313560219
693	9.312766756
694	9.311717038
695	9.310927196
696	9.309931191
697	9.308158644
698	9.307613111
699	9.306235046
700	9.305525837
701	9.304278858
702	9.302928427
703	9.302393523
704	9.301499953
705	9.300823404
706	9.299678802
707	9.298282564
708	9.297556615
709	9.29630197
710	9.295573468
711	9.294581655
712	9.293701551
713	9.293197964
714	9.292775231
715	9.292063489
716	9.290992048
717	9.290131376
718	9.289050453
719	9.288054727
720	9.286762721
721	9.286121553
722	9.284865246
723	9.284291679
724	9.283788645
725	9.282782922
726	9.281781867
727	9.280984376
728	9.280122914
729	9.279201936
730	9.278187387
731	9.277476991
732	9.276493999
733	9.275792161
734	9.274885873
735	9.27381973
736	9.272540267
737	9.271886297
738	9.270783944
739	9.26967252
740	9.268585074
741	9.267505591
742	9.26676237
743	9.266139421
744	9.2649603
745	9.264327374
746	9.263669115
747	9.262992791
748	9.261978641
749	9.261186452
750	9.260356235
751	9.259697622
752	9.258539486
753	9.257930168
754	9.257011695
755	9.2565085
756	9.255706104
757	9.25479797
758	9.253730084
759	9.25229986
760	9.251558941
761	9.250823898
762	9.250363834
763	9.249229757
764	9.24869551
765	9.247982166
766	9.246764869
767	9.246311968
768	9.245384076
769	9.244424722
770	9.243536075
771	9.242644306
772	9.241492748
773	9.239974449
774	9.238957203
775	9.237994793
776	9.237156574
777	9.23576169
778	9.234955329
779	9.234309616
780	9.233557714
781	9.232537685
782	9.231654585
783	9.230972321
784	9.229996701
785	9.229238529
786	9.228038702
787	9.227628368
788	9.226394909
789	9.225848512
790	9.224927694
791	9.223745722
792	9.223149513
793	9.222445506
794	9.221438288
795	9.220529829
796	9.219464429
797	9.218586914
798	9.217713746
799	9.216407101
800	9.215309914
801	9.214344736
802	9.213742418
803	9.212922903
804	9.211741404
805	9.211108206
806	9.209852492
807	9.208805287
808	9.208173499
809	9.207425279
810	9.20645698
811	9.205677425
812	9.205085633
813	9.2041161
814	9.202922323
815	9.201758917
816	9.200746306
817	9.199792751
818	9.198930221
819	9.198138379
820	9.19691223
821	9.195785053
822	9.194954343
823	9.194179015
824	9.193271003
825	9.192583623
826	9.19172789
827	9.191045667
828	9.190085229
829	9.188900697
830	9.187679763
831	9.186822047
832	9.186251115
833	9.185110571
834	9.184239976
835	9.183049323
836	9.182196847
837	9.181426486
838	9.180404628
839	9.17988426
840	9.17888818
841	9.178509338
842	9.177778467
843	9.176772036
844	9.175921159
845	9.175146209
846	9.174337446
847	9.173716212
848	9.173220825
849	9.172309508
850	9.171758187
851	9.171027538
852	9.170062417
853	9.169460877
854	9.168648075
855	9.16797804
856	9.167026323
857	9.165830665
858	9.165249256
859	9.164559281
860	9.163809675
861	9.162838623
862	9.161788831
863	9.161039796
864	9.159920906
865	9.159199795
866	9.158231079
867	9.157351083
868	9.15668893
869	9.15551885
870	9.154545445
871	9.154258942
872	9.153728688
873	9.152729918
874	9.151816398
875	9.151030042
876	9.150264734
877	9.149423086
878	9.148754574
879	9.14791515
880	9.147133385
881	9.146183106
882	9.145020387
883	9.144102065
884	9.143431776
885	9.14253685
886	9.142277596
887	9.141583713
888	9.141178596
889	9.140156761
890	9.139231192
891	9.138375631
892	9.137974289
893	9.137138857
894	9.136533306
895	9.135672474
896	9.134636981
897	9.134177119
898	9.133197943
899	9.132207849
900	9.131628315
901	9.130661038
902	9.129732425
903	9.128661377
904	9.127592731
905	9.126914519
906	9.125953013
907	9.125289512
908	9.124541953
909	9.123505811
910	9.123024487
911	9.122561347
912	9.121544824
913	9.120745286
914	9.120027077
915	9.118730914
916	9.117887578
917	9.116954567
918	9.115985873
919	9.115080969
920	9.114300133
921	9.113545322
922	9.112627464
923	9.11175722
924	9.11084315
925	9.109842501
926	9.108856462
927	9.107758684
928	9.106946558
929	9.106272671
930	9.105303906
931	9.104358178
932	9.10346336
933	9.102964092
934	9.102262892
935	9.101559778
936	9.100524578
937	9.099821629
938	9.099056814
939	9.098088098
940	9.097210307
941	9.096524664
942	9.095577608
943	9.094975961
944	9.093936936
945	9.093495297
946	9.092446791
947	9.091663127
948	9.090710885
949	9.089753956
950	9.088735782
951	9.087820783
952	9.087162781
953	9.085977196
954	9.085140055
955	9.084235962
956	9.08345511
957	9.08289792
958	9.082135132
959	9.081063906
960	9.080684808
961	9.079619693
962	9.078859254
963	9.077882161
964	9.07713127
965	9.076250816
966	9.075445344
967	9.074894802
968	9.074302147
969	9.073322476
970	9.072611856
971	9.071793232
972	9.071012167
973	9.070244178
974	9.069417051
975	9.068884886
976	9.067938939
977	9.067276033
978	9.066374466
979	9.065498886
980	9.064755884
981	9.063815589
982	9.062847795
983	9.061878516
984	9.060402574
985	9.059101861
986	9.058009506
987	9.057068187
988	9.056668666
989	9.056226768
990	9.055764921
991	9.054885025
992	9.054471669
993	9.053239137
994	9.052812096
995	9.052318163
996	9.051232745
997	9.050679519
998	9.04992517
999	9.049097405
