SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629614,0022201220,"Apr 09, 2023",IND @ NYK,W,38,7,13,0.538,1,3,0.333,4,5,0.8,0,3,3,9,3,0,2,1,19,-3,1
22022,1629614,0022201203,"Apr 07, 2023",IND vs. DET,L,30,5,8,0.625,0,0,0.0,2,2,1.0,1,3,4,10,0,0,4,1,12,10,1
22022,1629614,0022201190,"Apr 05, 2023",IND vs. NYK,L,32,5,13,0.385,1,2,0.5,1,2,0.5,1,2,3,9,1,0,4,3,12,-28,1
22022,1629614,0022201173,"Apr 02, 2023",IND @ CLE,L,31,6,14,0.429,1,2,0.5,0,0,0.0,0,2,2,8,3,0,3,1,13,-16,1
22022,1629614,0022201149,"Mar 31, 2023",IND vs. OKC,W,31,7,16,0.438,3,7,0.429,1,2,0.5,2,1,3,6,0,0,4,4,18,2,1
22022,1629614,0022201136,"Mar 29, 2023",IND vs. MIL,L,28,6,15,0.4,1,4,0.25,2,2,1.0,0,2,2,15,0,0,1,2,15,-10,1
22022,1629614,0022201123,"Mar 27, 2023",IND vs. DAL,L,36,8,16,0.5,1,4,0.25,0,0,0.0,1,4,5,5,1,0,0,3,17,5,1
22022,1629614,0022201107,"Mar 25, 2023",IND @ ATL,L,27,5,8,0.625,2,4,0.5,0,0,0.0,0,2,2,4,0,1,3,2,12,5,1
22022,1629614,0022201097,"Mar 24, 2023",IND @ BOS,L,24,3,5,0.6,0,1,0.0,0,0,0.0,0,2,2,3,2,0,0,0,6,-23,1
22022,1629614,0022201085,"Mar 22, 2023",IND @ TOR,W,35,11,17,0.647,3,5,0.6,0,0,0.0,0,2,2,10,0,0,2,5,25,8,1
22022,1629614,0022201071,"Mar 20, 2023",IND @ CHA,L,29,1,6,0.167,0,0,0.0,0,0,0.0,0,2,2,6,0,0,3,3,2,-23,1
22022,1629614,0022201057,"Mar 18, 2023",IND vs. PHI,L,37,9,14,0.643,2,4,0.5,2,2,1.0,0,1,1,2,0,0,1,1,22,-21,1
22022,1629614,0022201045,"Mar 16, 2023",IND @ MIL,W,28,10,21,0.476,4,9,0.444,0,2,0.0,1,0,1,5,0,0,0,2,24,-7,1
22022,1629614,0022201020,"Mar 13, 2023",IND @ DET,L,36,6,14,0.429,1,3,0.333,2,3,0.667,1,3,4,7,0,0,3,3,15,-15,1
22022,1629614,0022201006,"Mar 11, 2023",IND @ DET,W,33,6,15,0.4,2,6,0.333,5,6,0.833,0,3,3,8,0,0,2,0,19,-2,1
22022,1629614,0022200993,"Mar 09, 2023",IND vs. HOU,W,26,6,7,0.857,2,2,1.0,0,0,0.0,0,2,2,1,2,0,1,3,14,6,1
22022,1629614,0022200972,"Mar 06, 2023",IND vs. PHI,L,19,3,4,0.75,1,2,0.5,0,0,0.0,0,4,4,1,2,0,0,0,7,-6,1
22022,1629614,0022200963,"Mar 05, 2023",IND @ CHI,W,20,2,5,0.4,0,3,0.0,0,0,0.0,0,0,0,1,1,1,0,2,4,-1,1
22022,1629614,0022200944,"Mar 02, 2023",IND @ SAS,L,21,0,8,0.0,0,3,0.0,4,4,1.0,0,2,2,2,0,0,1,0,4,-15,1
22022,1629614,0022200929,"Feb 28, 2023",IND @ DAL,W,32,1,6,0.167,1,5,0.2,0,2,0.0,1,2,3,5,0,1,0,1,3,-5,1
22022,1629614,0022200905,"Feb 25, 2023",IND @ ORL,W,24,5,11,0.455,3,6,0.5,0,0,0.0,0,2,2,3,2,0,0,2,13,1,1
22022,1629614,0022200887,"Feb 23, 2023",IND vs. BOS,L,23,2,7,0.286,1,5,0.2,0,0,0.0,0,0,0,1,0,0,1,0,5,7,1
22022,1629614,0022200874,"Feb 15, 2023",IND vs. CHI,W,21,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,5,1,0,0,4,4,7,1
22022,1629614,0022200859,"Feb 13, 2023",IND vs. UTA,L,23,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,3,1,0,0,3,2,-3,1
22022,1629614,0022200849,"Feb 11, 2023",IND @ WAS,L,20,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,2,1,0,1,2,7,4,1
22022,1629614,0022200836,"Feb 10, 2023",IND vs. PHX,L,26,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,10,0,0,3,1,0,-4,1
22022,1629614,0022200825,"Feb 08, 2023",IND @ MIA,L,28,4,9,0.444,1,2,0.5,1,2,0.5,1,0,1,1,0,1,2,2,10,-10,1
22022,1629614,0022200803,"Feb 05, 2023",IND vs. CLE,L,28,2,4,0.5,1,2,0.5,1,1,1.0,0,2,2,7,1,0,1,1,6,-9,1
22022,1629614,0022200786,"Feb 03, 2023",IND vs. SAC,W,35,4,10,0.4,1,5,0.2,0,0,0.0,0,1,1,5,3,0,1,2,9,14,1
22022,1629614,0022200778,"Feb 02, 2023",IND vs. LAL,L,33,3,8,0.375,1,2,0.5,0,0,0.0,0,4,4,6,1,0,3,1,7,7,1
22022,1629614,0022200753,"Jan 29, 2023",IND @ MEM,L,28,5,13,0.385,1,7,0.143,1,1,1.0,2,1,3,3,0,0,3,1,12,-5,1
22022,1629614,0022200736,"Jan 27, 2023",IND vs. MIL,L,20,4,9,0.444,0,1,0.0,1,2,0.5,0,0,0,4,1,0,4,0,9,-24,1
22022,1629614,0022200697,"Jan 21, 2023",IND @ PHX,L,21,2,9,0.222,0,5,0.0,0,0,0.0,1,0,1,4,1,0,1,5,4,2,1
22022,1629614,0022200688,"Jan 20, 2023",IND @ DEN,L,25,2,10,0.2,1,8,0.125,0,0,0.0,0,1,1,6,1,0,5,5,5,-13,1
22022,1629614,0022200674,"Jan 18, 2023",IND @ OKC,L,27,7,16,0.438,2,4,0.5,2,2,1.0,2,3,5,7,2,0,1,4,18,-16,1
22022,1629614,0022200657,"Jan 16, 2023",IND @ MIL,L,33,3,9,0.333,1,6,0.167,0,0,0.0,0,2,2,9,2,0,4,1,7,-11,1
22022,1629614,0022200643,"Jan 14, 2023",IND vs. MEM,L,24,2,9,0.222,2,6,0.333,1,1,1.0,0,1,1,7,0,0,2,1,7,-24,1
22022,1629614,0022200633,"Jan 13, 2023",IND vs. ATL,L,34,2,16,0.125,1,6,0.167,1,1,1.0,2,4,6,5,1,1,1,1,6,0,1
22022,1629614,0022200622,"Jan 11, 2023",IND @ NYK,L,34,4,10,0.4,1,3,0.333,2,2,1.0,1,2,3,4,0,0,1,5,11,-1,1
22022,1629614,0022200598,"Jan 08, 2023",IND vs. CHA,W,32,7,11,0.636,4,5,0.8,1,1,1.0,0,0,0,4,4,1,4,4,19,25,1
22022,1629614,0022200580,"Jan 06, 2023",IND vs. POR,W,36,4,7,0.571,1,1,1.0,0,0,0.0,0,4,4,1,2,0,1,0,9,3,1
