SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1630570,0022401188,"Apr 13, 2025",BKN vs. NYK,L,33,8,12,0.667,1,2,0.5,3,5,0.6,0,7,7,4,2,1,4,5,20,2,1
22024,1630570,0022401179,"Apr 11, 2025",BKN @ MIN,L,32,7,15,0.467,1,3,0.333,0,0,0.0,2,6,8,4,0,0,1,2,15,-12,1
22024,1630570,0022401169,"Apr 10, 2025",BKN vs. ATL,L,20,1,6,0.167,0,0,0.0,6,6,1.0,4,1,5,3,0,0,4,1,8,-17,1
22024,1630570,0022401150,"Apr 08, 2025",BKN vs. NOP,W,23,7,8,0.875,2,3,0.667,6,6,1.0,0,3,3,5,0,0,3,2,22,23,1
22024,1630570,0022401134,"Apr 06, 2025",BKN vs. TOR,L,22,3,5,0.6,0,0,0.0,7,10,0.7,1,4,5,4,0,0,1,2,13,3,1
22024,1630570,0022401113,"Apr 03, 2025",BKN vs. MIN,L,27,5,13,0.385,0,1,0.0,1,2,0.5,3,2,5,5,0,0,3,2,11,-16,1
22024,1630570,0022401095,"Mar 31, 2025",BKN @ DAL,W,24,2,7,0.286,2,4,0.5,0,0,0.0,0,5,5,1,0,0,2,2,6,7,1
22024,1630570,0022401075,"Mar 29, 2025",BKN @ WAS,W,24,3,9,0.333,1,3,0.333,0,0,0.0,0,2,2,1,0,2,4,2,7,-4,1
22024,1630570,0022401068,"Mar 28, 2025",BKN vs. LAC,L,20,3,8,0.375,0,2,0.0,0,0,0.0,1,4,5,5,2,0,2,2,6,-12,1
22024,1630570,0022401054,"Mar 26, 2025",BKN vs. TOR,L,26,4,8,0.5,0,1,0.0,1,1,1.0,0,4,4,3,0,1,1,2,9,-15,1
22024,1630570,0022401040,"Mar 24, 2025",BKN vs. DAL,L,28,5,9,0.556,1,3,0.333,1,2,0.5,0,1,1,4,0,0,2,2,12,-6,1
