SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1628449,0022400837,"Feb 26, 2025",TOR @ IND,L,19,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,0,1,0,0,0,-2,1
22024,1628449,0022400829,"Feb 25, 2025",TOR vs. BOS,L,14,4,6,0.667,0,2,0.0,0,0,0.0,2,0,2,0,1,0,1,0,8,7,1
22024,1628449,0022400816,"Feb 23, 2025",TOR vs. PHX,W,20,9,12,0.75,4,5,0.8,1,3,0.333,3,7,10,2,0,0,0,1,23,17,1
22024,1628449,0022400800,"Feb 21, 2025",TOR vs. MIA,L,14,0,5,0.0,0,3,0.0,4,4,1.0,5,0,5,3,0,0,0,1,4,6,1
22024,1628449,0022400764,"Feb 11, 2025",TOR @ PHI,W,15,0,6,0.0,0,3,0.0,0,0,0.0,3,5,8,1,0,0,1,1,0,-7,1
22024,1628449,0022400753,"Feb 09, 2025",TOR @ HOU,L,18,2,7,0.286,0,3,0.0,0,0,0.0,2,5,7,2,0,0,0,2,4,1,1
22024,1628449,0022400739,"Feb 07, 2025",TOR @ OKC,L,15,4,9,0.444,3,7,0.429,0,0,0.0,1,1,2,0,0,0,0,3,11,-9,1
22024,1628449,0022400697,"Feb 02, 2025",TOR vs. LAC,W,16,3,5,0.6,2,4,0.5,1,2,0.5,1,3,4,0,0,1,1,2,9,-7,1
22024,1628449,0022400665,"Jan 29, 2025",TOR @ WAS,W,15,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,4,3,0,1
22024,1628449,0022400654,"Jan 27, 2025",TOR vs. NOP,W,18,5,10,0.5,4,9,0.444,0,0,0.0,1,3,4,0,1,0,0,0,14,18,1
22024,1628449,0022400639,"Jan 25, 2025",TOR @ ATL,W,21,7,10,0.7,3,4,0.75,6,6,1.0,0,5,5,0,0,1,0,0,23,21,1
22024,1628449,0022400623,"Jan 23, 2025",TOR @ ATL,W,18,7,10,0.7,2,4,0.5,1,2,0.5,1,1,2,0,1,0,1,2,17,-11,1
22024,1628449,0022400608,"Jan 21, 2025",TOR vs. ORL,W,12,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,3,2,17,1
22024,1628449,0022400580,"Jan 17, 2025",TOR @ MIL,L,15,3,4,0.75,0,1,0.0,0,0,0.0,2,4,6,0,0,0,0,1,6,-4,1
22024,1628449,0022400562,"Jan 15, 2025",TOR vs. BOS,W,17,2,7,0.286,1,4,0.25,0,0,0.0,1,8,9,0,0,0,1,2,5,13,1
22024,1628449,0022400550,"Jan 13, 2025",TOR vs. GSW,W,22,7,9,0.778,3,5,0.6,1,2,0.5,4,3,7,2,0,1,0,1,18,1,1
22024,1628449,0022400534,"Jan 11, 2025",TOR @ DET,L,20,5,6,0.833,4,5,0.8,0,0,0.0,1,2,3,1,0,0,0,1,14,4,1
22024,1628449,0022400517,"Jan 09, 2025",TOR @ CLE,L,27,9,14,0.643,5,8,0.625,0,0,0.0,3,9,12,0,1,1,0,1,23,10,1
22024,1628449,0022400511,"Jan 08, 2025",TOR @ NYK,L,4,4,4,1.0,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,0,10,11,1
22024,1628449,0022400459,"Jan 01, 2025",TOR vs. BKN,W,5,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-7,1
22024,1628449,0022400449,"Dec 31, 2024",TOR @ BOS,L,14,2,7,0.286,1,4,0.25,2,2,1.0,0,2,2,1,1,0,0,1,7,-23,1
22024,1628449,0022400438,"Dec 29, 2024",TOR vs. ATL,L,12,1,3,0.333,1,2,0.5,6,6,1.0,0,2,2,0,1,0,1,1,9,1,1
22024,1628449,0022400414,"Dec 26, 2024",TOR @ MEM,L,21,6,12,0.5,2,5,0.4,1,1,1.0,3,2,5,0,0,0,1,3,15,-9,1
22024,1628449,0022400397,"Dec 23, 2024",TOR @ NYK,L,19,5,6,0.833,4,5,0.8,2,2,1.0,1,2,3,1,3,1,0,1,16,5,1
22024,1628449,0022400388,"Dec 22, 2024",TOR vs. HOU,L,19,6,11,0.545,2,5,0.4,1,1,1.0,1,0,1,4,1,0,4,2,15,0,1
22024,1628449,0022400364,"Dec 19, 2024",TOR vs. BKN,L,19,1,5,0.2,1,5,0.2,0,0,0.0,2,1,3,1,1,1,0,3,3,3,1
22024,1628449,0022401223,"Dec 16, 2024",TOR vs. CHI,L,21,4,8,0.5,0,2,0.0,3,5,0.6,3,7,10,0,0,1,0,4,11,-9,1
22024,1628449,0022400328,"Dec 05, 2024",TOR vs. OKC,L,17,3,13,0.231,0,3,0.0,4,4,1.0,4,2,6,0,0,0,2,1,10,-24,1
22024,1628449,0022400054,"Dec 03, 2024",TOR vs. IND,W,14,2,6,0.333,1,4,0.25,1,2,0.5,0,2,2,2,0,0,1,1,6,-6,1
22024,1628449,0022400309,"Dec 01, 2024",TOR vs. MIA,W,16,3,7,0.429,0,4,0.0,2,2,1.0,0,2,2,0,1,2,0,2,8,17,1
22024,1628449,0022400046,"Nov 29, 2024",TOR @ MIA,L,13,1,5,0.2,1,3,0.333,0,0,0.0,1,5,6,2,0,0,2,2,3,-12,1
22024,1628449,0022400295,"Nov 27, 2024",TOR @ NOP,W,12,0,4,0.0,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3,1
22024,1628449,0022400278,"Nov 25, 2024",TOR @ DET,L,22,4,9,0.444,1,4,0.25,1,1,1.0,4,3,7,0,1,1,0,0,10,11,1
22024,1628449,0022400275,"Nov 24, 2024",TOR @ CLE,L,14,3,7,0.429,0,3,0.0,4,4,1.0,1,2,3,0,2,0,0,3,10,4,1
22024,1628449,0022400261,"Nov 21, 2024",TOR vs. MIN,W,26,7,13,0.538,3,8,0.375,5,8,0.625,0,4,4,0,2,1,1,4,22,11,1
22024,1628449,0022400247,"Nov 18, 2024",TOR vs. IND,W,18,2,4,0.5,0,2,0.0,0,0,0.0,1,6,7,0,0,3,0,0,4,-10,1
22024,1628449,0022400230,"Nov 16, 2024",TOR @ BOS,L,20,5,6,0.833,2,3,0.667,3,3,1.0,4,1,5,0,0,0,1,1,15,0,1
22024,1628449,0022400011,"Nov 15, 2024",TOR vs. DET,L,14,1,5,0.2,0,2,0.0,0,0,0.0,1,6,7,1,0,2,2,0,2,-10,1
22024,1628449,0022400005,"Nov 12, 2024",TOR @ MIL,L,20,5,12,0.417,2,5,0.4,0,0,0.0,2,3,5,0,0,0,1,0,12,-11,1
22024,1628449,0022400211,"Nov 10, 2024",TOR @ LAL,L,20,6,9,0.667,2,4,0.5,4,5,0.8,2,3,5,3,1,0,1,0,18,-7,1
22024,1628449,0022400200,"Nov 09, 2024",TOR @ LAC,L,24,6,12,0.5,0,4,0.0,2,3,0.667,3,3,6,0,1,0,0,2,14,0,1
22024,1628449,0022400180,"Nov 06, 2024",TOR @ SAC,L,25,7,11,0.636,3,6,0.5,0,0,0.0,1,3,4,0,0,0,0,1,17,-1,1
22024,1628449,0022400166,"Nov 04, 2024",TOR @ DEN,L,14,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,1,1,1,2,1,2,-2,1
22024,1628449,0022400143,"Nov 02, 2024",TOR vs. SAC,W,25,9,13,0.692,4,6,0.667,2,3,0.667,0,5,5,1,0,0,0,1,24,13,1
22024,1628449,0022400137,"Nov 01, 2024",TOR vs. LAL,L,14,3,6,0.5,0,3,0.0,3,4,0.75,0,2,2,1,0,0,0,3,9,-13,1
22024,1628449,0022400117,"Oct 30, 2024",TOR @ CHA,L,17,6,10,0.6,1,4,0.25,0,0,0.0,1,3,4,1,0,1,1,1,13,4,1
22024,1628449,0022400107,"Oct 28, 2024",TOR vs. DEN,L,14,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,0,0,1,0,2,4,3,1
22024,1628449,0022400093,"Oct 26, 2024",TOR @ MIN,L,16,2,8,0.25,0,4,0.0,0,2,0.0,1,8,9,0,0,0,0,2,4,6,1
22024,1628449,0022400078,"Oct 25, 2024",TOR vs. PHI,W,19,0,5,0.0,0,4,0.0,4,4,1.0,0,3,3,1,2,4,1,0,4,5,1
22024,1628449,0022400067,"Oct 23, 2024",TOR vs. CLE,L,20,5,9,0.556,4,5,0.8,4,6,0.667,1,1,2,1,1,1,1,1,18,-17,1
