SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203484,0022500676,"Jan 28, 2026",MEM vs. CHA,L,21,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,4,3,0,1,1,0,-11,1
22025,203484,0022500662,"Jan 26, 2026",MEM @ HOU,L,18,5,9,0.556,1,4,0.25,0,0,0.0,2,1,3,1,0,0,0,0,11,5,1
22025,203484,0022500639,"Jan 23, 2026",MEM vs. NOP,L,23,1,9,0.111,0,6,0.0,2,2,1.0,0,3,3,3,0,0,0,1,4,-8,1
22025,203484,0022500623,"Jan 21, 2026",MEM vs. ATL,L,18,3,3,1.0,1,1,1.0,2,2,1.0,0,5,5,3,0,0,1,2,9,-9,1
22025,203484,0022500602,"Jan 18, 2026",MEM vs. ORL,W,17,3,8,0.375,1,4,0.25,0,0,0.0,0,1,1,1,3,0,1,2,7,6,1
22025,203484,0022500578,"Jan 15, 2026",MEM @ ORL,L,14,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,2,0,1,3,0,0,-13,1
22025,203484,0022500549,"Jan 11, 2026",MEM vs. BKN,W,20,5,11,0.455,2,5,0.4,2,2,1.0,1,3,4,1,0,0,0,0,14,-4,1
22025,203484,0022500536,"Jan 09, 2026",MEM vs. OKC,L,10,1,4,0.25,0,2,0.0,0,0,0.0,1,0,1,1,1,0,0,0,2,1,1
22025,203484,0022500524,"Jan 07, 2026",MEM vs. PHX,L,17,5,10,0.5,2,4,0.5,2,2,1.0,1,2,3,2,0,0,1,1,14,-10,1
22025,203484,0022500512,"Jan 06, 2026",MEM vs. SAS,W,20,3,8,0.375,0,3,0.0,0,0,0.0,0,3,3,3,1,0,2,0,6,-17,1
22025,203484,0022500501,"Jan 04, 2026",MEM @ LAL,L,25,3,8,0.375,1,5,0.2,0,0,0.0,0,2,2,0,1,0,0,1,7,-13,1
22025,203484,0022500485,"Jan 02, 2026",MEM @ LAL,L,23,6,10,0.6,4,6,0.667,4,4,1.0,0,5,5,2,2,0,1,4,20,24,1
22025,203484,0022500443,"Dec 28, 2025",MEM @ WAS,L,11,2,5,0.4,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,0,4,0,1
22025,203484,0022500428,"Dec 26, 2025",MEM vs. MIL,W,22,6,10,0.6,1,3,0.333,0,0,0.0,0,2,2,2,2,1,1,2,13,21,1
22025,203484,0022500419,"Dec 23, 2025",MEM @ UTA,W,20,3,7,0.429,1,4,0.25,4,4,1.0,0,1,1,3,1,0,1,1,11,9,1
22025,203484,0022500406,"Dec 22, 2025",MEM @ OKC,L,21,5,6,0.833,5,6,0.833,1,2,0.5,1,2,3,4,0,0,3,0,16,-11,1
22025,203484,0022500391,"Dec 20, 2025",MEM vs. WAS,L,28,3,7,0.429,1,4,0.25,4,4,1.0,1,1,2,5,1,0,2,3,11,-7,1
22025,203484,0022500368,"Dec 17, 2025",MEM @ MIN,W,23,4,12,0.333,2,5,0.4,2,2,1.0,0,1,1,3,1,0,3,3,12,13,1
22025,203484,0022501226,"Dec 15, 2025",MEM @ LAC,W,23,2,5,0.4,0,1,0.0,0,0,0.0,1,6,7,6,2,0,0,1,4,30,1
22025,203484,0022501213,"Dec 12, 2025",MEM vs. UTA,L,22,3,10,0.3,1,5,0.2,0,0,0.0,0,2,2,5,2,0,1,0,7,-10,1
22025,203484,0022500360,"Dec 07, 2025",MEM vs. POR,W,23,5,8,0.625,3,5,0.6,3,3,1.0,0,2,2,5,2,0,2,0,16,30,1
22025,203484,0022500347,"Dec 05, 2025",MEM vs. LAC,W,19,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,5,1,0,0,0,5,-2,1
22025,203484,0022500322,"Dec 02, 2025",MEM @ SAS,L,13,1,5,0.2,0,2,0.0,0,0,0.0,0,3,3,2,0,1,4,1,2,-9,1
22025,203484,0022500307,"Nov 30, 2025",MEM @ SAC,W,20,4,6,0.667,2,3,0.667,3,3,1.0,1,2,3,3,0,0,5,0,13,-1,1
22025,203484,0022500079,"Nov 28, 2025",MEM @ LAC,W,21,4,10,0.4,4,7,0.571,0,0,0.0,1,3,4,1,1,0,1,0,12,19,1
