SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629636,0022201178,"Apr 04, 2023",CLE @ ORL,W,38,6,16,0.375,1,4,0.25,3,3,1.0,0,2,2,10,0,1,3,1,16,14,1
22022,1629636,0022201173,"Apr 02, 2023",CLE vs. IND,W,39,8,20,0.4,2,3,0.667,2,2,1.0,1,2,3,6,2,0,2,2,20,3,1
22022,1629636,0022201154,"Mar 31, 2023",CLE vs. NYK,L,38,8,19,0.421,2,4,0.5,2,2,1.0,0,3,3,9,0,0,2,2,20,-10,1
22022,1629636,0022201131,"Mar 28, 2023",CLE @ ATL,L,41,10,22,0.455,1,6,0.167,6,6,1.0,0,2,2,5,0,1,4,4,27,8,1
22022,1629636,0022201117,"Mar 26, 2023",CLE vs. HOU,W,38,6,16,0.375,1,4,0.25,4,4,1.0,1,3,4,8,0,0,1,4,17,21,1
22022,1629636,0022201094,"Mar 23, 2023",CLE @ BKN,W,39,4,16,0.25,2,6,0.333,3,3,1.0,0,1,1,8,3,0,3,2,13,15,1
22022,1629636,0022201079,"Mar 21, 2023",CLE @ BKN,W,32,7,13,0.538,1,3,0.333,2,2,1.0,0,1,1,6,1,0,5,1,17,-5,1
22022,1629636,0022201049,"Mar 17, 2023",CLE vs. WAS,W,37,11,19,0.579,1,5,0.2,1,1,1.0,2,2,4,9,0,0,1,0,24,21,1
22022,1629636,0022201035,"Mar 15, 2023",CLE vs. PHI,L,36,6,17,0.353,1,7,0.143,2,2,1.0,0,2,2,5,0,0,4,3,15,-11,1
22022,1629636,0022201027,"Mar 14, 2023",CLE @ CHA,W,28,7,15,0.467,2,4,0.5,3,5,0.6,0,3,3,7,1,0,2,1,19,14,1
22022,1629636,0022201015,"Mar 12, 2023",CLE @ CHA,W,39,8,20,0.4,2,10,0.2,10,13,0.769,0,6,6,6,1,0,4,1,28,22,1
22022,1629636,0022200987,"Mar 08, 2023",CLE @ MIA,W,39,8,16,0.5,3,6,0.5,6,6,1.0,0,0,0,7,2,0,3,5,25,7,1
22022,1629636,0022200971,"Mar 06, 2023",CLE vs. BOS,W,42,6,18,0.333,2,7,0.286,3,4,0.75,0,5,5,12,1,0,3,2,17,17,1
22022,1629636,0022200957,"Mar 04, 2023",CLE vs. DET,W,24,8,11,0.727,5,6,0.833,0,0,0.0,1,2,3,7,2,0,2,4,21,20,1
22022,1629636,0022200935,"Mar 01, 2023",CLE @ BOS,L,41,12,21,0.571,5,9,0.556,0,3,0.0,0,3,3,9,4,0,4,2,29,1,1
22022,1629636,0022200914,"Feb 26, 2023",CLE vs. TOR,W,34,6,12,0.5,3,4,0.75,3,3,1.0,1,2,3,11,0,2,0,1,18,39,1
22022,1629636,0022200896,"Feb 24, 2023",CLE @ ATL,L,31,11,19,0.579,4,8,0.5,7,7,1.0,0,0,0,2,2,0,3,1,33,-10,1
22022,1629636,0022200886,"Feb 23, 2023",CLE vs. DEN,L,37,7,20,0.35,1,6,0.167,7,8,0.875,0,1,1,5,2,0,2,2,22,-12,1
22022,1629636,0022200875,"Feb 15, 2023",CLE @ PHI,L,43,10,14,0.714,3,3,1.0,4,6,0.667,0,2,2,6,3,0,1,4,27,-10,1
22022,1629636,0022200858,"Feb 13, 2023",CLE vs. SAS,W,30,7,13,0.538,0,4,0.0,2,2,1.0,0,2,2,7,0,0,6,4,16,-8,1
22022,1629636,0022200852,"Feb 11, 2023",CLE vs. CHI,W,37,6,14,0.429,3,6,0.5,4,4,1.0,0,2,2,7,0,0,5,4,19,1,1
22022,1629636,0022200842,"Feb 10, 2023",CLE @ NOP,W,23,4,6,0.667,2,3,0.667,1,2,0.5,1,1,2,7,0,0,3,3,11,15,1
22022,1629636,0022200809,"Feb 06, 2023",CLE @ WAS,W,28,9,15,0.6,5,9,0.556,0,2,0.0,0,2,2,5,3,0,3,1,23,18,1
22022,1629636,0022200803,"Feb 05, 2023",CLE @ IND,W,35,8,13,0.615,4,6,0.667,4,4,1.0,1,2,3,6,0,0,1,3,24,25,1
22022,1629636,0022200779,"Feb 02, 2023",CLE vs. MEM,W,33,11,19,0.579,4,6,0.667,6,6,1.0,0,2,2,11,0,0,4,2,32,15,1
22022,1629636,0022200764,"Jan 31, 2023",CLE vs. MIA,L,31,7,13,0.538,2,7,0.286,0,0,0.0,0,1,1,5,1,0,3,5,16,6,1
22022,1629636,0022200754,"Jan 29, 2023",CLE vs. LAC,W,23,5,7,0.714,2,3,0.667,4,4,1.0,0,2,2,10,0,0,1,0,16,27,1
22022,1629636,0022200739,"Jan 27, 2023",CLE @ OKC,L,37,10,23,0.435,3,8,0.375,8,10,0.8,0,2,2,13,4,0,2,2,31,-10,1
22022,1629636,0022200733,"Jan 26, 2023",CLE @ HOU,W,33,9,16,0.563,5,8,0.625,3,3,1.0,2,2,4,9,3,0,1,1,26,17,1
22022,1629636,0022200715,"Jan 24, 2023",CLE @ NYK,L,35,6,17,0.353,2,6,0.333,8,10,0.8,1,3,4,6,2,0,1,0,22,20,1
22022,1629636,0022200695,"Jan 21, 2023",CLE vs. MIL,W,36,9,16,0.563,1,3,0.333,2,2,1.0,1,2,3,10,2,0,1,2,21,19,1
22022,1629636,0022200685,"Jan 20, 2023",CLE vs. GSW,L,40,10,25,0.4,3,11,0.273,8,8,1.0,0,2,2,9,2,0,4,0,31,-1,1
22022,1629636,0022200672,"Jan 18, 2023",CLE @ MEM,L,39,7,17,0.412,5,11,0.455,5,6,0.833,0,5,5,14,2,0,2,3,24,10,1
22022,1629636,0022200658,"Jan 16, 2023",CLE vs. NOP,W,40,9,22,0.409,5,10,0.5,7,7,1.0,2,4,6,11,1,0,2,2,30,16,1
22022,1629636,0022200645,"Jan 14, 2023",CLE @ MIN,L,35,6,11,0.545,1,3,0.333,2,2,1.0,0,3,3,4,0,0,4,2,15,-4,1
22022,1629636,0022200631,"Jan 12, 2023",CLE @ POR,W,33,5,12,0.417,2,3,0.667,8,10,0.8,0,2,2,10,0,0,4,4,20,7,1
22022,1629636,0022200614,"Jan 10, 2023",CLE @ UTA,L,38,8,18,0.444,1,4,0.25,4,4,1.0,0,5,5,6,0,0,4,3,21,5,1
22022,1629636,0022200603,"Jan 08, 2023",CLE @ PHX,W,35,8,17,0.471,2,5,0.4,4,5,0.8,0,2,2,7,2,0,2,1,22,22,1
22022,1629636,0022200588,"Jan 06, 2023",CLE @ DEN,L,33,8,20,0.4,1,6,0.167,4,6,0.667,1,3,4,8,0,0,1,3,21,-15,1
22022,1629636,0022200524,"Dec 29, 2022",CLE @ IND,L,35,8,11,0.727,2,3,0.667,0,2,0.0,1,0,1,8,0,0,1,1,18,-12,1
22022,1629636,0022200498,"Dec 26, 2022",CLE vs. BKN,L,40,14,20,0.7,5,7,0.714,13,15,0.867,1,2,3,8,1,0,1,1,46,6,1
22022,1629636,0022200484,"Dec 23, 2022",CLE vs. TOR,L,31,6,13,0.462,2,5,0.4,3,3,1.0,0,1,1,8,1,0,5,3,17,-12,1
22022,1629636,0022200466,"Dec 21, 2022",CLE vs. MIL,W,37,9,19,0.474,2,5,0.4,3,4,0.75,1,3,4,2,1,0,4,4,23,4,1
22022,1629636,0022200452,"Dec 19, 2022",CLE vs. UTA,W,30,7,11,0.636,2,4,0.5,1,1,1.0,0,1,1,8,0,0,6,2,17,25,1
22022,1629636,0022200440,"Dec 17, 2022",CLE vs. DAL,W,44,8,18,0.444,1,6,0.167,1,2,0.5,0,7,7,12,4,1,0,3,18,14,1
22022,1629636,0022200431,"Dec 16, 2022",CLE vs. IND,W,36,5,11,0.455,2,4,0.5,8,8,1.0,2,4,6,10,2,0,3,2,20,11,1
22022,1629636,0022200421,"Dec 14, 2022",CLE @ DAL,W,34,4,11,0.364,1,3,0.333,3,3,1.0,0,2,2,6,2,0,0,2,12,5,1
22022,1629636,0022200406,"Dec 12, 2022",CLE @ SAS,L,39,7,22,0.318,1,6,0.167,3,3,1.0,2,5,7,9,1,0,4,2,18,10,1
22022,1629636,0022200390,"Dec 10, 2022",CLE vs. OKC,W,34,3,9,0.333,1,4,0.25,6,6,1.0,0,3,3,8,2,0,6,1,13,9,1
22022,1629636,0022200381,"Dec 09, 2022",CLE vs. SAC,L,35,7,17,0.412,3,7,0.429,1,1,1.0,0,2,2,6,2,0,6,2,18,-13,1
22022,1629636,0022200360,"Dec 06, 2022",CLE vs. LAL,W,38,8,18,0.444,1,6,0.167,4,4,1.0,1,2,3,11,1,0,1,2,21,22,1
22022,1629636,0022200348,"Dec 04, 2022",CLE @ NYK,L,39,5,19,0.263,3,9,0.333,4,5,0.8,0,2,2,3,1,0,4,0,17,-17,1
22022,1629636,0022200330,"Dec 02, 2022",CLE vs. ORL,W,37,6,15,0.4,2,6,0.333,4,4,1.0,0,1,1,6,1,0,1,0,18,-5,1
22022,1629636,0022200312,"Nov 30, 2022",CLE vs. PHI,W,32,9,16,0.563,3,4,0.75,0,0,0.0,0,2,2,9,0,0,2,1,21,24,1
22022,1629636,0022200303,"Nov 28, 2022",CLE @ TOR,L,33,7,11,0.636,2,5,0.4,2,2,1.0,1,3,4,10,3,1,2,3,18,-8,1
22022,1629636,0022200295,"Nov 27, 2022",CLE @ DET,W,40,4,19,0.211,0,5,0.0,11,12,0.917,0,3,3,10,0,0,2,1,19,1,1
22022,1629636,0022200280,"Nov 25, 2022",CLE @ MIL,L,38,7,18,0.389,1,5,0.2,5,5,1.0,0,4,4,3,0,0,2,3,20,-26,1
22022,1629636,0022200261,"Nov 23, 2022",CLE vs. POR,W,36,9,19,0.474,4,9,0.444,2,2,1.0,0,0,0,12,0,0,2,1,24,26,1
22022,1629636,0022200248,"Nov 21, 2022",CLE vs. ATL,W,38,9,14,0.643,2,4,0.5,6,6,1.0,0,0,0,9,1,0,8,1,26,4,1
22022,1629636,0022200244,"Nov 20, 2022",CLE vs. MIA,W,28,7,12,0.583,4,7,0.571,7,7,1.0,0,2,2,7,0,0,5,2,25,12,1
22022,1629636,0022200225,"Nov 18, 2022",CLE vs. CHA,W,48,16,26,0.615,3,8,0.375,6,8,0.75,0,1,1,6,5,1,8,5,41,23,1
22022,1629636,0022200216,"Nov 16, 2022",CLE @ MIL,L,35,8,20,0.4,5,9,0.556,2,3,0.667,0,4,4,8,1,1,1,1,23,-1,1
22022,1629636,0022200193,"Nov 13, 2022",CLE vs. MIN,L,40,16,31,0.516,10,15,0.667,9,13,0.692,1,1,2,6,2,0,2,3,51,6,1
22022,1629636,0022200182,"Nov 11, 2022",CLE @ GSW,L,36,5,19,0.263,1,5,0.2,4,4,1.0,1,2,3,8,2,0,0,3,15,-3,1
22022,1629636,0022200171,"Nov 09, 2022",CLE @ SAC,L,34,1,9,0.111,1,4,0.25,3,4,0.75,0,0,0,8,0,0,4,3,6,-6,1
22022,1629636,0022200158,"Nov 07, 2022",CLE @ LAC,L,38,8,17,0.471,2,9,0.222,1,3,0.333,1,0,1,12,1,0,5,1,19,-2,1
22022,1629636,0022200140,"Nov 06, 2022",CLE @ LAL,W,39,7,18,0.389,3,9,0.333,7,7,1.0,1,3,4,7,0,0,5,4,24,6,1
22022,1629636,0022200107,"Nov 02, 2022",CLE vs. BOS,W,42,9,20,0.45,5,11,0.455,6,7,0.857,0,5,5,12,3,0,1,3,29,10,1
22022,1629636,0022200008,"Oct 19, 2022",CLE @ TOR,L,13,2,8,0.25,0,1,0.0,0,0,0.0,0,1,1,3,2,1,5,1,4,-10,1
